StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District
w9do,Hau Xing Yu Shredded Chicken (Shanghai Street),Shredded chicken,4.9,842,hong kong,"G/F, 99 Shanghai Street, Jordan, Mong Kok,",Jordan
lhrd,Thai Khaow Hom (Kennedy Town),Thai,4.9,49,hong kong,"Shop F & G, G/F, Full Harvest Building, 6-18 Hau Wo Street, Kennedy Town,",Kennedy Town
jbe9,Mo Keung To,Chinese,5.0,11,hong kong,"Shop 16, G/F, Man Ying Building, 16 Man Ying Street, Yau Ma Tei,",Yau Ma Tei
v3tb,Anna Dessert,HK Dessert,4.9,921,hong kong,"G/F, 107 Woosung Street, Jordan,",Jordan
s4ey,Wulu Bar & Restaurant,Hot Pot,4.2,5,hong kong,"11/F, H8, 8 Hau Fook Street, Tsim Sha Tsui,",Tsim Sha Tsui
o6eq,Sai Kwan Lo Jo (Yau Ma Tei),Hong Kong,4.9,363,hong kong,"Shop 18B, Ground Floor, Middle Block, Man Yuen Building, 18 Man Yuen Street, Yau Ma Tei,",Yau Ma Tei
ta1t,HungHing (Kennedy Town),Hong Kong,4.4,21,hong kong,"Shop G2, G/F, Shun Hing Building, 34 Catchick Street, Kennedy Town,",Kennedy Town
fhjp,Fu Pong Restaurant,Cha Chaan Teng,4.2,80,hong kong,"Shop 1M, G/F, Nanking Street, Jordan,",Jordan
lgh1,HAMA-SUSHI,Japanese,4.4,15,hong kong,"Shop 1, 1/F, 238 Nathan Road, Jordan,",Jordan
v3sd,Ex-Gorkha Restaurant & Bar,Indian,4.9,108,hong kong,"Shop 5, G/F, King's Court, 65-75 Wai Ching Street, Yau Ma Tei,",Yau Ma Tei
cv79,Shh Cafe,Western,4.9,20,hong kong,"Major Portion of Shops B and C, G/F, Cheung King Mansion, 144 Austin Road, Tsim Sha Tsui,",Tsim Sha Tsui
v4ub,Sing Kee,Hong Kong,4.9,1340,hong kong,"Stall CF12, Cooked Food Market, 2/F, Smithfield Municipal Services Building, 12K Smithfield, Kennedy Town,",Kennedy Town
w7bw,Tong Shui Hung,HK Dessert,4.9,979,hong kong,"G/F, MAN KING BUILDING, 30 MAN WUI STREET, JORDAN, TSIM SHA TSUI,",Jordan
v9ap,Tong Shui Dang 1987,Hong Kong,4.9,344,hong kong,"Shop C, G/F, Man King Building, 25 Man Wui Street, Ferry Street, Jordan,",Jordan
v0hi,Clay Oven Indian Restaurant,Curry,4.6,785,hong kong,"G/F, Kam Hing Mansion, 27-31 Catchick Street, Kennedy Town,",Kennedy Town
n5rj,Seng Seng 2 Go,Korean,5.0,1944,hong kong,"Shop 12, Ground Floor, No. 14 Man Ying Street, Jordan,",Jordan
to22,Kamukura Japanese Restaurant,Sushi,5.0,20,hong kong,"Shop E, G/F, Luen Tak Apartment, 45 Smithfield, Kennedy Town,",Kennedy Town
x6nh,Friend's Kitchen,Hong Kong,4.3,50,hong kong,"6/F, Pollock Building, 9-10 Tak Hing Street, Jordan,",Jordan
s1jr,Shanghai Lane (Happy Valley),Shanghainese,4.9,784,hong kong,"G/F, 10 Min Fat Street, Happy Valley,",Happy Valley
e8jp,Junels Ktown,Filipino,4.7,13,hong kong,"G/F, 9 North Street, Kennedy Town,",Kennedy Town
