"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"jl3f","Awesome Bar & Cafe","Western","4.8","(10)","Hong Kong"
"v2sj","Hai Phong Pho Vietnamese Food","Pho","4.3","(500+)","Hong Kong"
"hu7c","Soup Very Good","Hong Kong","4.3","(95)","Hong Kong"
"jx9d","Thai Shake Yeah (Jordan) [Extended Delivery]","Thai","4.5","(5)","Hong Kong"
"s3pl","Hee Kee Cart Noodle (Jordan)","Cart Noodles","4.4","(2000+)","Hong Kong"
"s5tn","Chuan Shao","Skewers","4.6","(42)","Hong Kong"
"rbkz","Sichuan Fish House","Sichuan","3.1","(23)","Hong Kong"
"y2v6","W. Welcome (CWB)","Hong Kong","3.7","(45)","Hong Kong"
"s5nf","David's Barbecue","Skewers","4.5","(500+)","Hong Kong"
"i471","Ingenuity Catering (Kennedy Town)","Siu Mei","4.4","(50)","Hong Kong"
"lgh1","HAMA-SUSHI","Japanese","5","(2)","Hong Kong"
"w0mt","Snaky Cafe","Cha Chaan Teng","4.2","(100+)","Hong Kong"
"hsz5","Thai Express (Jordan) [Extended Delivery]","Thai","4.3","(2)","Hong Kong"
"b31m","Fu Kee","Hong Kong","1.9","(15)","Hong Kong"
"yf0b","Jazz Bird","Italian","3","(2)","Hong Kong"
"pm8x","Number Four (Kennedy Town)","Sichuan","4.3","(58)","Hong Kong"
"n5pd","Kai Kai","HK Dessert","4.7","(1000+)","Hong Kong"
"djed","KUROME Cafe & Bar","Japanese","4.5","(48)","Hong Kong"
"b8hy","Influencer Skewers","Skewers","5","(2)","Hong Kong"
"amd5","One One Roast Goose Restaurant (Sai Wan)","Cha Chaan Teng","4.7","(1000+)","Hong Kong"
"s1jr","Shanghai Lane (Happy Valley)","Shanghainese","4.4","(500+)","Hong Kong"
"w8fj","Sun Kee Noodles","Cart Noodles","4.1","(100+)","Hong Kong"
"uzv5","Uncle's Centre (Yau Ma Tei)","Indian","4.8","(22)","Hong Kong"
"s4tt","Na Thai","Thai","4.4","(500+)","Hong Kong"
"qpr6","Ah Long Pakistan Halal Food","Curry","2.1","(44)","Hong Kong"
"w7hw","Man Hing Restaurant","Cha Chaan Teng","4.5","(100+)","Hong Kong"
"lhrd","Thai Khaow Hom (Kennedy Town)","Thai","5","(1)","Hong Kong"
"w0fu","Ping Fuk Roasted Meat Restaurant","Siu Mei","4.3","(100+)","Hong Kong"
"o6eq","Sai Kwan Lo Jo (Yau Ma Tei)","Hong Kong","4.6","(100+)","Hong Kong"
"v8se","Cheung Fat King of Soyed Goose","Chiu Chow","4.7","(100+)","Hong Kong"
"eyum","Full Happiness","Cantonese","4.9","(7)","Hong Kong"
"w8xi","Lotus Garden","Hong Kong","3","(100+)","Hong Kong"
"x2oe","Lo Chiu Vietnamese Restaurant (Jordan)","Vietnamese","3.9","(100+)","Hong Kong"
"s1jh","Light Vegetarian Restaurant","Cantonese","4.1","(100+)","Hong Kong"
"w7tp","Shichi Fuku San Japanese Restaurant","Japanese","4.8","(16)","Hong Kong"
"pwia","Curry Express","Indian","4.2","(100+)","Hong Kong"
"syla","Thai Shake Yeah (Jordan)","Thai","4.2","(100+)","Hong Kong"
"fbst","Kong Shing Rice Noodle Restaurant","Cha Chaan Teng","4.5","(44)","Hong Kong"
"k43o","Hong Kong Cafe","Cha Chaan Teng","4.9","(37)","Hong Kong"
"lqfg","Meats Meet Fire","Skewers","2.2","(5)","Hong Kong"
"lbyi","Hyolmo Fusion Restaurant & Bar","Indian","3.6","(71)","Hong Kong"
"zaaf","Breeze Bistro","Western","3.8","(2)","Hong Kong"
"v3sd","Ex-Gorkha Restaurant & Bar","Indian","3.5","(46)","Hong Kong"
"amai","Nam Yeung Goodies","Malaysian","3.3","(36)","Hong Kong"
"vnuj","Zank You","Japanese","4.7","(40)","Hong Kong"
"td74","Chong Qing Mala Tong","Sichuan","1.4","(3)","Hong Kong"
"yx37","Ikkan Sushi","Sushi","4.3","(100+)","Hong Kong"
"f2ho","Delight Congee","Congee","5","(1)","Hong Kong"
"x5ay","Blue Pho","Pho","4.5","(500+)","Hong Kong"
"b37t","Bubble Tea Work (Kennedy Town)","Bubble Tea","4.4","(100+)","Hong Kong"
"tj8w","Yiumo","Japanese","3.5","(16)","Hong Kong"
"yvfy","Slow House","Western","4.7","(100+)","Hong Kong"
"j8m7","My Boxed Meal (Kennedy Town)","Taiwanese","4.6","(27)","Hong Kong"
"ql1t","Chulo Nepalese Home Cooking","Southeast Asian","4","(78)","Hong Kong"
"c6ey","Golden Federal Restaurant (Jordon)","Cantonese","2.8","(33)","Hong Kong"
"v3jj","11 Westside","Mexican","4","(500+)","Hong Kong"
"w6so","Sino Vegetarian Restaurant","Hong Kong","4.3","(100+)","Hong Kong"
"e7ar","2 Good Bakery","Cakes","4.7","(33)","Hong Kong"
"kaf2","SamJim Claypot Rice","Hong Kong","4.8","(100+)","Hong Kong"
"i8ew","San Sui Beef Brisket","Hong Kong","4.3","(2)","Hong Kong"
"v7ux","Yeung Kee Spicy Fish (Jordan)","Sauerkraut fish","4.7","(500+)","Hong Kong"
"w6rx","South Taiwan Comfort (Kennedy Town)","Taiwanese","4.2","(1000+)","Hong Kong"
"v6mp","Comptoir","French","3.6","(100+)","Hong Kong"
"s4nm","Falafel Hut","Kebab","4.4","(500+)","Hong Kong"
"v9om","Sichuan BBQ Restaurant","Skewers","4.3","(100+)","Hong Kong"
"dme3","ENSO","Japanese","4.7","(13)","Hong Kong"
"enn9","Kum Lo Hotpot","Hot Pot","3.9","(17)","Hong Kong"
"y9nv","Pizzeria Italia (Sai Wan)","Pizza","4.6","(1000+)","Hong Kong"
"w0zu","Sing Hing Restaurant","Hong Kong","3.5","(1000+)","Hong Kong"
"iz15","Fu Loi Chinese Kitchen","Cha Chaan Teng","4","(84)","Hong Kong"
"w9xi","42nd Davis","Italian","4","(100+)","Hong Kong"
"cu5l","Sun Hup Shing Siu Mei","Siu Mei","4.8","(48)","Hong Kong"
"v6yw","The Farm (Kennedy Town)","Hong Kong","4.2","(500+)","Hong Kong"
"ioxj","Hungry Eye Restaurant & Bar","Indian","4.5","(12)","Hong Kong"
"w388","Chu BBQ Beer Lemontea","Skewers","2","(1)","Hong Kong"
"h69j","Little Lucie’s (Happy Valley)","Western","5","(11)","Hong Kong"
"beyr","Smiling Elephant Takeaway","Thai","4.7","(100+)","Hong Kong"
"w2mr","Ho Yin Kee Desserts","HK Dessert","4.2","(1000+)","Hong Kong"
"s5ta","Thalassic Thai Restaurant","Thai","4.1","(1000+)","Hong Kong"
"xwrw","Wang Shing Roast Goose Restaurant","Siu Mei","4.2","(100+)","Hong Kong"
"otuy","My Kitchen","Indian","4.3","(96)","Hong Kong"
"v9jo","BRESOLA","Italian","4.2","(68)","Hong Kong"
"s3wl","Tai Hang Bar & Grill","Western","4.4","(1000+)","Hong Kong"
"udo6","Little Indian Restaurant","Indian","3.2","(100+)","Hong Kong"
"v3jc","Tequila on Davis","Mexican","4.4","(100+)","Hong Kong"
"v0ro","Turkeyano (Jordan)","Middle Eastern","4.2","(100+)","Hong Kong"
"w4sk","Herbal Tea Shop","Hong Kong","3.8","(3)","Hong Kong"
"s0uh","BB Cow Beef Brisket Restaurant","Hong Kong","4.4","(500+)","Hong Kong"
"h0vd","Souper Kitchen","Hong Kong","4.1","(100+)","Hong Kong"
"vp69","Brothers BBQ","Skewers","4.3","(25)","Hong Kong"
"v2zz","Mint Leaf Indian Restaurant","Indian","3.7","(78)","Hong Kong"
"bgup","Matka (Jordan)","Curry","2.2","(27)","Hong Kong"
"v7ek","Manakamana Nepali Restaurant","Asian","4.1","(100+)","Hong Kong"
"v8kn","Superdon Express","Rice Bowl","4.6","(100+)","Hong Kong"
"v8qq","Tandoori (Jordan)","Indian","4.1","(12)","Hong Kong"
"n7ef","Tandoori Fine Indian Cuisine (Tung Lo Wan Road)","Indian","3.7","(100+)","Hong Kong"
"v5eq","Turkish Best Kebab","Kebab","2.5","(69)","Hong Kong"
"zvoz","Biryani Corner (Jordan)","Indian","4.5","(81)","Hong Kong"
"kuci","Cheung Kee Sea Food Kitchen","Hong Kong","3.6","(50)","Hong Kong"
"xmu2","Cha Don","Cha Chaan Teng","4.6","(100+)","Hong Kong"
"vx1g","Habibi (Jordan)","Middle Eastern","3.9","(11)","Hong Kong"
"mdp5","Wan Kwai Chuen","Sichuan","4.3","(100+)","Hong Kong"
"rnw5","AL Kebabi (Jordan)","Kebab","4.1","(29)","Hong Kong"
"xz1f","Lazeez Pizza (Yau Ma Tei)","Pizza","4","(98)","Hong Kong"
"v6nt","Arabian Knights","Indian","4.3","(100+)","Hong Kong"
"w8qv","Broccoli Piazza & Pasta","Italian","1.4","(35)","Hong Kong"
"w9sx","La Piazza Italiano Bistro","Pizza","3.2","(78)","Hong Kong"
"ez3s","Tsung Kwan Roast Goose","Siu Mei","4.5","(3)","Hong Kong"
"wbrr","Everest Momo","Indian","5","(1)","Hong Kong"
"v7cw","Shu Family Private Kitchen","Sichuan","4.4","(100+)","Hong Kong"
"v0bg","Taj Mahal Restaurant","Indian","3.3","(98)","Hong Kong"
"v0xy","Tak Cheong Noodle (Tin Hau)","Hong Kong","3.9","(100+)","Hong Kong"
"v9ad","Father of Pizza (Jordan)","Pizza","3.8","(100+)","Hong Kong"
"odlw","Wu Lon Restaurant","Cha Chaan Teng","3.9","(100+)","Hong Kong"
"s7nw","Sushi Nakamuraya","Japanese","4.5","(100+)","Hong Kong"
"b3eh","TT (Tin Hau)","Taiwanese","3.6","(8)","Hong Kong"
"y5fw","Sister Wah","Hong Kong","4.7","(100+)","Hong Kong"
"v7ep","Jinhuang Shanxi Knife Noodles","Chinese","4.2","(100+)","Hong Kong"
"jn1w","Kuichi Bentoya","Japanese","3.4","(7)","Hong Kong"
"mqny","Esc Cafe","Coffee","4.7","(93)","Hong Kong"
"v0rb","Shahnai Indian Restaurant","Indian","2","(58)","Hong Kong"
"w57d","Tin Hau Dessert","Hong Kong","3.5","(100+)","Hong Kong"
"i98v","Ippaiki Sakaya","Japanese","2.9","(2)","Hong Kong"
"y6ht","Habib's (Tin Hau)","Kebab","4.2","(100+)","Hong Kong"
"gmyb","Kami Enishi (Tin Hau Shop)","Japanese","2.9","(5)","Hong Kong"
"x1ql","Sun Shine Noodle (Aberdeen)","Cart Noodles","4.5","(1000+)","Hong Kong"
"v0qg","Mamma Mia","Italian","3.1","(80)","Hong Kong"
"j2dw","ASAP (Causeway Bay)","Japanese","4.4","(500+)","Hong Kong"
"v7qi","Fratelli Di Tegila","Italian","4","(100+)","Hong Kong"
"v6jp","Jannat Indian Restaurant","Curry","3.9","(44)","Hong Kong"
"v9rv","Beirut Kebab & Curry","Kebab","4.3","(100+)","Hong Kong"
"k71h","Take Your Time (Tin Hau)","Bubble Tea","4.9","(100+)","Hong Kong"
"hvlc","Satay Pop","Singaporean","4.8","(57)","Hong Kong"
"dzjo","On The Spot Cafe Bar Restaurant","Western","4.9","(12)","Hong Kong"
"c8qw","Tandoori Junction (Electric Road)","Indian","4","(100+)","Hong Kong"
"v0ls","Six Garden Restauant","Cha Chaan Teng","3.9","(100+)","Hong Kong"
"m6yz","Dining Place (Aberdeen)","Cha Chaan Teng","4.6","(1000+)","Hong Kong"
"n8lm","Chor Bazare Indian Cuisine (Tai Hang)","Indian","3.7","(85)","Hong Kong"
"s6eq","Saigon Etoile","Vietnamese","4.2","(100+)","Hong Kong"
"ryg6","Kebab Kingdom","Kebab","4","(5)","Hong Kong"
"v2az","Teppanyaki Deli's","Japanese","4.3","(100+)","Hong Kong"
"x5fd","Mak Siu Kee Traditional Wonton Noodle (Tin Hau)","Hong Kong","4.2","(100+)","Hong Kong"
"fzox","Tasty Congee & Noodles","Congee","4.2","(100+)","Hong Kong"
"s5fh","Palki Indian Restaurant (Tin Hau)","Indian","4","(500+)","Hong Kong"
"s8tp","Cafe Locomotive Vietnamese (Tai Hang)","Vietnamese","4","(500+)","Hong Kong"
"s3nq","Fat Kee (Tin Hau)","Chiu Chow","3.9","(100+)","Hong Kong"
"fomj","Onion Hub","Kebab","4.1","(55)","Hong Kong"
"c9bf","Myanmar Thai Palace","Thai","4.1","(500+)","Hong Kong"
"afb4","Sichuan Tianfu Restaurant","Sichuan","4.6","(100+)","Hong Kong"
"sp9k","101 Binary","International","4.5","(100+)","Hong Kong"
"l6w7","Yuen Hing Restaurant","Cha Chaan Teng","4","(100+)","Hong Kong"
"wm9n","Cock N Rice (Tin Hau)","Hainan chicken","4.7","(100+)","Hong Kong"
"v1cs","GU MA MA","Chinese","4.4","(100+)","Hong Kong"
"darf","Tommi C Hing (Wong Chuk Hang)","Chinese","1.8","(12)","Hong Kong"
"w2lg","Hop Lee Congee Shop","Congee","4.4","(2000+)","Hong Kong"
"v2bv","Wah Kee Restaurant (Aberdeen)","Hong Kong","4.5","(100+)","Hong Kong"
"v4dv","Shiawase","Sushi","4.3","(500+)","Hong Kong"
"v4bu","LoCome Pancakes (Tin Hau)","Beijing","3.6","(100+)","Hong Kong"
"v5ig","Veggie Spinner","International","4.6","(100+)","Hong Kong"
"pubv","Baka Restaurant","Hong Kong","4.6","(8)","Hong Kong"
"ywvd","Baka Burger","Burgers","4.6","(100+)","Hong Kong"
"s0ms","Pho Saigon","Pho","4.4","(500+)","Hong Kong"
"ylfa","Pak Don Chicken Rice (Tin Hau)","Hainan chicken","4.5","(60)","Hong Kong"
"dwtx","Bollyfood","Indian","4.6","(13)","Hong Kong"
"ymiu","Celebrity Pizza","Western","2.2","(2)","Hong Kong"
"v0dt","Peace","Western","4.2","(100+)","Hong Kong"
"bznh","La Mian Xiao Long Bao [Extended Delivery]","Shanghainese","3.9","(9)","Hong Kong"
"s8sv","Classified (Tai Hang)","Western","4.5","(1000+)","Hong Kong"
"kro5","80's Cafe","Hong Kong","4.5","(100+)","Hong Kong"
"st5j","Hualien Dating (North Point)","Taiwanese","4.5","(100+)","Hong Kong"
"q5um","Chop Chop (North Point)","Siu Mei","4.5","(1000+)","Hong Kong"
"jfz7","Sweet Belle (North Point)","HK Dessert","4.4","(25)","Hong Kong"
"di1q","Kai (Wong Chuk Hang)","Poke Bowl ","4.5","(100+)","Hong Kong"
"fuer","Dumplingology (North Point)","Dumpling","3.8","(66)","Hong Kong"
"o4da","Unicorn Dessert Shop","HK Dessert","4.6","(100+)","Hong Kong"
"auyd","Home Soup Home (North Point)","Hong Kong","4.6","(100+)","Hong Kong"
"ig2v","Sushi Takumi","Sushi","4.4","(100+)","Hong Kong"
"v4sz","Keto Hut (Tin Hau)","Western","3.7","(100+)","Hong Kong"
"k5xx","Blazed (Wong Chuk Hang)","Western","4.5","(100+)","Hong Kong"
"tb6u","Oyster Station (Tin Hau)","Western","4.8","(11)","Hong Kong"
"v7qz","Noorajahan (Tin Hau)","Indian","3.6","(100+)","Hong Kong"
"v0if","Paleo Taste (Tin Hau)","Indian","3.7","(100+)","Hong Kong"
"e57s","Party Time (North Point)","Hong Kong","4.2","(26)","Hong Kong"
"h4br","Sea East Restaurant (Aberdeen)","Hong Kong","4.4","(83)","Hong Kong"
"v0mn","Royal Indian Curry House (Tin Hau)","Curry","4.6","(100+)","Hong Kong"
"n5lg","London Kebab House (Tin Hau)","Kebab","3.5","(500+)","Hong Kong"
"pjnx","Spoon","Western","2.8","(8)","Hong Kong"
"v9jl","Tak Hing Roast Restaurant","Cha Chaan Teng","4.1","(1000+)","Hong Kong"
"yssz","RiceShip (North Point)","Hong Kong","3.7","(100+)","Hong Kong"
"v1dv","Easyfood (Tin Hau)","Western","3.7","(100+)","Hong Kong"
"yi4g","Tak Fuk Lau (North Point)","Hong Kong","5","(9)","Hong Kong"
"v4bl","Royal Pizzeria (North Point)","Pizza","3.3","(100+)","Hong Kong"
"xb73","Noodle Master (North Point)","Cart Noodles","3.8","(100+)","Hong Kong"
"z7tr","GDB Bakery (Aberdeen)","Hong Kong","4.5","(100+)","Hong Kong"
"w4sh","Pacific Coffee (The Metropolis Mall)","Coffee","4.5","(100+)","Hong Kong"
"pjvo","Farmchap","Hong Kong","4.5","(7)","Hong Kong"
"vddf","Lao Er (Aberdeen)","Shanghainese","3.9","(100+)","Hong Kong"
"v6vo","King's Noodle","Japanese","4.2","(59)","Hong Kong"
"w1bl","Kwan Shing Dumplings","Dumpling","4.5","(500+)","Hong Kong"
"upr9","DPD Deluxe (North Point)","Hong Kong","4.4","(79)","Hong Kong"
"v9kh","Sun Yung Kei Seafood Restaurant","Hong Kong","4.4","(500+)","Hong Kong"
"grnk","Yakitori Tiger","Skewers","4.4","(27)","Hong Kong"
"w3dt","Chiu Fat Kee","Hong Kong","4.4","(1000+)","Hong Kong"
"lqo2","Suk Yi","Sichuan","4.6","(100+)","Hong Kong"
"o0lx","Hee Wan Dim Sum Kitchen","Dim Sum ","3.8","(500+)","Hong Kong"
"hezl","Tambayan","Hong Kong","4.8","(92)","Hong Kong"
"q7es","Dragon Paradise","Shanghainese","4.3","(1000+)","Hong Kong"
"x4yq","Wing Fat","Cha Chaan Teng","4.2","(1000+)","Hong Kong"
"j1wd","BBQ KING (Fortress Hill)","Skewers","3.6","(1000+)","Hong Kong"
"w9iy","Good Taste (Tin Hau)","Cantonese","4.6","(100+)","Hong Kong"
"sxvb","Nam Fong (Cyberport)","Cantonese","4.5","(25)","Hong Kong"
"w1dh","Spicy Lady","Sichuan","4.4","(1000+)","Hong Kong"
"z8y2","Umami & Latitude 22 (Cyberport)","Japanese","3.4","(2)","Hong Kong"
"qea2","Yau Hei Restaurant","Cha Chaan Teng","3.9","(93)","Hong Kong"
"w4qv","Hainan South","Hainan chicken","4.5","(500+)","Hong Kong"
"x3l3","Southside Bistro (Cyberport)","International","5","(11)","Hong Kong"
"kdzh","Twist & Buckle, Churros Specialists (North Point)","Spanish","4.2","(50)","Hong Kong"
"woxn","Twelve Flavors (Aberdeen Centre)","Sichuan","4.3","(1000+)","Hong Kong"
"t0dt","Kam Mun Restaurant","Hong Kong","4.6","(73)","Hong Kong"
"of8p","Gaolay (Fortress Hill Shop)","Dumpling","4.7","(43)","Hong Kong"
"pb5l","Akam Laksa (Hung Hom)","Malaysian","4.2","(500+)","Hong Kong"
"edzm","Fûhn To Go + (Cyberport)","Hong Kong","2.3","(24)","Hong Kong"
"v7re","Congee Wonderland","Congee","4.3","(500+)","Hong Kong"
"k72z","Pasta and Oyster House (Hung Hom)","International","5","(1)","Hong Kong"
"c6tk","Ngor Kee Dessert","HK Dessert","4.4","(85)","Hong Kong"
"o3md","TW Yummy (Yau Ma Tei)","Taiwanese","4.3","(500+)","Hong Kong"
"p4pe","Fook Yuen","HK Dessert","4.7","(1000+)","Hong Kong"
"v0nm","Tasty Northern Dumplings","Chinese","4.5","(100+)","Hong Kong"
"z1rf","Tong Bao Dim (Wong Chuk Hang Station)","Hong Kong","4.1","(96)","Hong Kong"
"zida","蕃喜工房 Tomato House","Hong Kong","4.2","(17)","Hong Kong"
"y8hk","Insanity","Western","3.7","(100+)","Hong Kong"
"s9zt","Delaney's (Cyberport)","British","3.9","(100+)","Hong Kong"
"w5ln","Hung Fook Tong (On Tai Building)","Hong Kong","4.6","(100+)","Hong Kong"
"v8mk","The Lotus - Vietnamese Cuisine (Cyberport)","Vietnamese","4","(500+)","Hong Kong"
"u1qd","Bar Pacific (Kings Road)","Western","5","(3)","Hong Kong"
"k2dh","Yokozuna","Ramen","4.5","(100+)","Hong Kong"
"b9q0","Ba Ba Kopitiam (Malaysian Restaurant) (Yau Ma Tei)","Malaysian","4.1","(100+)","Hong Kong"
"h7ol","Mister Roast Goose (North Point)","Siu Mei","4.1","(92)","Hong Kong"
"r6du","Kung Fu Dim Sum (Portland Street)","Dim Sum ","4.1","(500+)","Hong Kong"
"ofaz","Pizza Punk","Pizza","2.8","(6)","Hong Kong"
"g7ma","Tamagoyaki","Japanese","4.5","(100+)","Hong Kong"
"e3dv","Luen Fat Kitchen","Chinese","4","(100+)","Hong Kong"
"v9ln","Oh Sushi and Tappas","Japanese","4.6","(100+)","Hong Kong"
"v1rz","Lai See","Hong Kong","4.5","(500+)","Hong Kong"
"o5u3","Hung Ling Restaurant","Chinese","3.9","(100+)","Hong Kong"
"v9tr","Young Boss Yummy Food (Wah Hoi Mansion)","Shanghainese","4.7","(100+)","Hong Kong"
"k0wz","Auntie 13 Kitchen (Hung Hom)","Sauerkraut fish","4.4","(100+)","Hong Kong"
"v2wf","Amphawa Thai Restaurant (Yau Ma Tei)","Thai","4.1","(100+)","Hong Kong"
"gqwz","Eggs Bakery (North Point)","Hong Kong","4.6","(100+)","Hong Kong"
"ymch","Chui Yuen","Hong Kong","4.4","(72)","Hong Kong"
"htgp","Wai So Dim Sum Seafood Coconut Chicken Pot","Dim Sum ","3.7","(4)","Hong Kong"
"ecwd","Chain (Fortress Hill)","Taiwanese","5","(2)","Hong Kong"
"t6xt","Leong Heng Kei (North Point)","Hong Kong","4.2","(100+)","Hong Kong"
"l0jc","Ming Kee Teochew Beef Noodle Soup","Cantonese","5","(24)","Hong Kong"
"etvj","Gulu Gulu","Hong Kong","5","(2)","Hong Kong"
"k7br","Hing Sing Spicy Noodles","Rice Noodles","4.7","(65)","Hong Kong"
"i6bs","Let's Gather","Hong Kong","4.9","(9)","Hong Kong"
"ppej","Boat Brother","Hainan chicken","2.9","(32)","Hong Kong"
"edqn","Guzzle (Yau Ma Tei)","Hong Kong","4.6","(2000+)","Hong Kong"
"w0hq","Lo Ka Lok","Cantonese","4.6","(100+)","Hong Kong"
"mc3c","LY Nathan Cafe","Cha Chaan Teng","4.7","(28)","Hong Kong"
"v2uy","Chicken Fantasia (Yau Ma Tei)","Hong Kong","4.5","(500+)","Hong Kong"
"v3kn","Hau Xing Yu Shredded Chicken (Yau Ma Tei)","Shredded chicken","4.5","(100+)","Hong Kong"
"w8vv","Jinseki Steak (Yau Ma Tei)","Japanese","4","(100+)","Hong Kong"
"qafy","Northeast BBQ (74 Portland Street)","Chinese","4","(27)","Hong Kong"
"h3st","Blessing Congee","Congee","3.5","(35)","Hong Kong"
"x4k8","Dessert Chateau Barbecue","Hong Kong","2.2","(2)","Hong Kong"
"v9ms","Khao Man Gai (Yau Ma Tei)","Hainan chicken","4.2","(500+)","Hong Kong"
"niuk","Life Cafe (Tai Kok Tsui)","Malaysian","4.6","(38)","Hong Kong"
"v2ul","Ying Lok Restaurant (Fortress Hill)","Cha Chaan Teng","3.8","(1000+)","Hong Kong"
"bdrx","Ace Restaurant","Cha Chaan Teng","3.9","(100+)","Hong Kong"
"m3i8","Goldish Sushi Sashimi (Yau Ma Tei)","Japanese","4.7","(41)","Hong Kong"
"v7yp","Wah Luun Cafe","Cha Chaan Teng","4","(100+)","Hong Kong"
"c39k","Han Kee Restaurant","Cha Chaan Teng","4.3","(100+)","Hong Kong"
"v9lk","Satay King (In’s Point)","International","4.5","(2000+)","Hong Kong"
"o4u6","Fu Wah Cafe (Yau Ma Tei)","Cha Chaan Teng","4.4","(100+)","Hong Kong"
"dhdw","Sushi Tribe (Charming Garden)","Sushi","2.9","(40)","Hong Kong"
"qdz4","Young Chick & Rice","Hainan chicken","4.4","(100+)","Hong Kong"
"v0bu","Salaam Namaste","Indian","4.2","(100+)","Hong Kong"
"v7nz","Hoidou Seafood Noodle","Hot Pot","4.5","(100+)","Hong Kong"
"leqa","Ji Yun Tong Herbal Tea","Hong Kong","5","(54)","Hong Kong"
"v9ya","Malacca Cuisine (North Point)","Malaysian","4.2","(1000+)","Hong Kong"
"v9re","Chillie Garden Restaurant (North Point)","Indian","4.6","(59)","Hong Kong"
"g225","Chin Gu Neh","Korean","4.9","(21)","Hong Kong"
"g5lj","Hidden Table","Hong Kong","4.6","(66)","Hong Kong"
"zeuh","Sushi Qi","Japanese","4.5","(100+)","Hong Kong"
"w9yg","Amour Corner","Western","3.8","(77)","Hong Kong"
"x7vg","am.pm (Mong Kok)","Hong Kong","4.7","(100+)","Hong Kong"
"s2ic","Ca-Tu-Ya (Yau Ma Tei)","Japanese","4.7","(1000+)","Hong Kong"
"no7y","Thai Kau","Thai","4.3","(100+)","Hong Kong"
"w5jn","Pepper Power (Hung Hom)","Thai","4","(500+)","Hong Kong"
"rz50","Tai Yuen Lou","Cantonese","3.4","(100+)","Hong Kong"
"w5xz","Sun Kee Congee (Mong Kok)","Congee","4.4","(100+)","Hong Kong"
"e4p8","Kafu","Japanese","4.7","(63)","Hong Kong"
"v3zg","Hung Hom Hot","Skewers","4.2","(4000+)","Hong Kong"
"kv2v","Kan Kee Juice & Dessert","HK Dessert","3.3","(56)","Hong Kong"
"sl8s","Finitea","Taiwanese","4.6","(17)","Hong Kong"
"w6tj","Mai Hei","Japanese","4.5","(1000+)","Hong Kong"
"fq9a","Lam's Tea Stall","Cha Chaan Teng","3.5","(59)","Hong Kong"
"wbjr","Little Sweet","Dessert","3.9","(54)","Hong Kong"
"dhrx","Lucky Green","Bubble Tea","4.3","(100+)","Hong Kong"
"igv0","Duet Cuts & Cups","Coffee","4.2","(57)","Hong Kong"
"v5om","Cheung Kee Restaurant","Cha Chaan Teng","4.3","(1000+)","Hong Kong"
"ddbd","Origin Healthy Rice Noodle","Rice Noodles","4.6","(3000+)","Hong Kong"
"byal","328 Food (Hung Hom)","Hong Kong","4.2","(100+)","Hong Kong"
"kc2x","Red Chicken (Hung Hom)","Fried Chicken","5","(8)","Hong Kong"
"kanw","Little Bite","Cha Chaan Teng","4.5","(20)","Hong Kong"
"w2hf","Happy Seasons Coconut Chicken Hot Pot","Hot Pot","4.2","(31)","Hong Kong"
"si8g","Vietnamese House","Vietnamese","4.2","(500+)","Hong Kong"
"qxqk","Chickenleg Lane","Hong Kong","4.3","(16)","Hong Kong"
"odev","Yummy Dumpling Restaurant","Cantonese","3.1","(3)","Hong Kong"
"p5zy","King Wu Restaurant","Chinese","4.5","(100+)","Hong Kong"
"mnwz","Chong Qing Hot Pot BBQ","Chinese","2","(1)","Hong Kong"
"v1bu","Poon Fong Tong (Mong Kok)","Hong Kong","4.6","(70)","Hong Kong"
"uap3","Lan Ting","Sushi","4.5","(100+)","Hong Kong"
"btp3","Sak Tak Hei Noodle Restaurant (Aberdeen)","Hong Kong","4.1","(3)","Hong Kong"
"f6qp","The Point Kitchen (Olympian)","Western","3.9","(100+)","Hong Kong"
"sq1d","Cheng Hai Restaurant","Hong Kong","4.2","(100+)","Hong Kong"
"v5as","Ichi Ban Ya","Japanese","4.1","(2000+)","Hong Kong"
"v4at","Little Fresh Cafe & Bar","Western","4.4","(51)","Hong Kong"
"vvjh","M Garden Vegetarian","Chinese","4.6","(100+)","Hong Kong"
"x6tt","New Stir-fry King","Cha Chaan Teng","4","(100+)","Hong Kong"
"f9jx","Cheung Wong Brine King (Hung Hom)","Chinese","5","(2)","Hong Kong"
"w9ul","Boat Dweller Dessert","HK Dessert","4.5","(1000+)","Hong Kong"
"w8bh","Y M Kitchen","Hong Kong","4.3","(2000+)","Hong Kong"
"o028","Meet Noodle","Cart Noodles","4.3","(59)","Hong Kong"
"v8am","Wong Yiu Mui Rice Noodle","Sichuan","4.1","(1000+)","Hong Kong"
"xwwy","Barbie & Ken Skewers","Skewers","3.5","(33)","Hong Kong"
"s0bq","Charlie's Chili Kitchen (Olympian City)","Sichuan","4.5","(3000+)","Hong Kong"
"r0xh","Sweet Up Dessert House","HK Dessert","4.4","(5)","Hong Kong"
"v18i","Capri Bar and Grill [Extended Delivery]","Western","4","(6)","Hong Kong"
"ccyn","ISnack","Hong Kong","4.3","(100+)","Hong Kong"
"w2yh","18 Tastes Kitchen","Taiwanese","4.4","(100+)","Hong Kong"
"w0yk","Good Boat Noodles (Ap Lei Chau)","Hong Kong","4.3","(1000+)","Hong Kong"
