"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"s8jv","Pampas Argentinean Steak House","-175 min","4.8","(52)","Hong Kong"
"pfhc","Flaming Burger","Burgers","5","(1)","Hong Kong"
"vsnc","Kyung Yang Katsu","Korean","4.8","(23)","Hong Kong"
"g4v1","Hung Fat Tea Co. [Extended Delivery]","Chinese","5","(1)","Hong Kong"
"s6gc","Green Waffle Diner (Central)","American","4.7","(500+)","Hong Kong"
"yyqf","Cafe Another","Western","4.5","(100+)","Hong Kong"
"d6ta","Breakfast Cottage","Western","4.9","(24)","Hong Kong"
"w3dl","Wah Kee Restaurant","Hong Kong","4.4","(100+)","Hong Kong"
"s6tr","Bouchon Bistro Francais","French","4.3","(100+)","Hong Kong"
"n3km","Tuk Tuk Thai Restaurant","Thai","4.3","(100+)","Hong Kong"
"wb7m","Flat Iron Steak","Western","4.2","(4)","Hong Kong"
"s3np","La'taste Vietnamese Cuisine (Admiralty)","Vietnamese","4.1","(500+)","Hong Kong"
"v0gx","Liquor Land (HK)","Western","4.9","(100+)","Hong Kong"
"s6hp","Prime Pho","Pho","4.5","(500+)","Hong Kong"
"w8pc","Staunton's Bar & Kitchen","International","4.6","(100+)","Hong Kong"
"w5cx","Ippudo HK (Admiralty)","Ramen","4.2","(500+)","Hong Kong"
"s7jb","Flaming Frango (Soho)","Western","4.4","(1000+)","Hong Kong"
"mhzx","Uncle Miguel","Mexican","4","(19)","Hong Kong"
"ik1o","Align (Central)","Taiwanese","3.8","(26)","Hong Kong"
"s4gm","Sole Mio","Pizza","4.3","(100+)","Hong Kong"
"y9cg","El Cerdo (Central)","Spanish","4.8","(21)","Hong Kong"
"s6us","Social Place (Central)","Chinese","4.6","(1000+)","Hong Kong"
"z0bz","La Pampa Argentinian Steak House","-180 min","2.7","(4)","Hong Kong"
"s7ej","Mostaccioli Brothers - Mo Bros","Italian","4.5","(500+)","Hong Kong"
"l6pt","Sweet Heart Fresh Juice","Hong Kong","3.1","(43)","Hong Kong"
"s3ku","Nepal Nepalese Cuisine","Asian","4.3","(100+)","Hong Kong"
"s7bu","Ming Viet Vietnamese Cuisine (Des Voeux Road)","Pho","4.2","(3000+)","Hong Kong"
"cwld","Local BBQ (Central)","Japanese","4","(1)","Hong Kong"
"uc5x","Lau Bistro","Western","4.7","(100+)","Hong Kong"
"l3cu","Herbal Knife-Cut Noodles","Chinese","4.3","(500+)","Hong Kong"
"yb19","La Camionetta","Pizza","4.4","(500+)","Hong Kong"
"mhn6","Triple O's by White Spot (Admiralty)","Burgers","4.8","(25)","Hong Kong"
"v0vc","Affinity Kitchen (Central)","Singaporean","4.5","(500+)","Hong Kong"
"s7vy","GURU Indian Restaurant","Indian","4.5","(500+)","Hong Kong"
"s6pn","XOCO Mexican","Mexican","4.6","(500+)","Hong Kong"
"ylys","Chicano","Mexican","4.4","(40)","Hong Kong"
"v0ek","Nagahama No1 Ramen","Ramen","4.7","(100+)","Hong Kong"
"l9ww","Luncheon by Papa Gomes","Curry","2.7","(24)","Hong Kong"
"w2la","Mizimamei","Bubble Tea","4.5","(500+)","Hong Kong"
"v2wk","New Yuen Hing Roasted Meat Restaurant","Hong Kong","4.4","(2000+)","Hong Kong"
"v3sg","Yao Sushi Takeaway","Japanese","4.6","(500+)","Hong Kong"
"w7hg","PaPa Gomes Western","Western","5","(3)","Hong Kong"
"v7ql","Little Hanoi (Sheung Wan)","Pho","4.2","(500+)","Hong Kong"
"sofb","Mo Bros Pizza","Pizza","4.7","(47)","Hong Kong"
"w9le","PaPa Gomes Middle Eastern","Middle Eastern","4.7","(11)","Hong Kong"
"w1rp","Wing Wo Restaurant","Cha Chaan Teng","4.2","(83)","Hong Kong"
"w5mv","PaPa Gomes","Indian","4.6","(500+)","Hong Kong"
"s812","Huong Vi Quan Viet Bac Vietnamese","Pho","4.6","(100+)","Hong Kong"
"v0uj","Uncle Pizza, Pasta & Grill","Western","4.6","(100+)","Hong Kong"
"wl33","Uoharu (Admiralty)","Japanese","5","(5)","Hong Kong"
"mj7j","Milksha (Sheung Wan)","Bubble Tea","4.9","(68)","Hong Kong"
"pjtm","Crêpe Delicious (Central)","Western","4.1","(48)","Hong Kong"
"w4gb","Point One Bar","Japanese","4.5","(37)","Hong Kong"
"xnas","Myouya Izakaya (Akvo Hotel)","Japanese","4.5","(5)","Hong Kong"
"v3g1","Mato","Western","4.5","(6)","Hong Kong"
"s0ls","Jervois Cafe (Sheung Wan)","Hong Kong","4.6","(500+)","Hong Kong"
"s5lq","Katong Laksa Prawn Mee","Singaporean","4.2","(500+)","Hong Kong"
"v3cj","Jacomax (Sheung Wan)","Italian","4.6","(500+)","Hong Kong"
"f1ir","Friday Cafe & Wine Bar","Western","4.7","(24)","Hong Kong"
"v9kr","The Patagonia Argentinian Steak House (Group)","-180 min","3.4","(41)","Hong Kong"
"u5nw","Metropol Restaurant (Admiralty)","Cantonese","4.4","(62)","Hong Kong"
"itm5","Melt Fine Dessert & Burger","Burgers","4.5","(28)","Hong Kong"
"cwib","Home A Day","Western","4.6","(65)","Hong Kong"
"zrip","Relieve","Japanese","4.3","(22)","Hong Kong"
"aggk","Ohlalagout (Sheung Wan)","Western","4.9","(29)","Hong Kong"
"uq4v","Dim Chill (Central) [Extended Delivery]","Hong Kong","4","(1)","Hong Kong"
"y942","Taku","Japanese","4.8","(100+)","Hong Kong"
"w4ts","CHI Tachinomi (Central Pier)","Japanese","4.7","(67)","Hong Kong"
"k6a3","Cô Thành (Admiralty)","Vietnamese","4.3","(82)","Hong Kong"
"w7zs","Hola! Empanada","Spanish","4.7","(52)","Hong Kong"
"h3cy","Dim Sum Square Dim Sum Specialist","Dim Sum ","4.6","(500+)","Hong Kong"
"t7hk","Canteen","Western","4.1","(69)","Hong Kong"
"s0mv","Fast Gourmet","-185 min","4.6","(100+)","Hong Kong"
"sjiu","Sunset Pier","Thai","4.7","(2)","Hong Kong"
"q95z","IHOP - International House of Pancakes (Central) [Extended Delivery]","American","4.2","(86)","Hong Kong"
"s9ux","Central Indian Restaurant","Curry","4.4","(500+)","Hong Kong"
"y296","Dumpling Works (Sheung Wan)","Dumpling","3.9","(100+)","Hong Kong"
"rug8","Fish & Chick (Sheung Wan)","British","4.7","(3)","Hong Kong"
"q0wm","Thong Thai","Thai","3.8","(7)","Hong Kong"
"a2ja","Soup Works (Sheung Wan)","Chinese","3.6","(80)","Hong Kong"
"lanm","KT Kitchen","Western","4.5","(100+)","Hong Kong"
"v1vk","Lung Kee Restaurant (Sheung Wan)","Hong Kong","4.5","(2000+)","Hong Kong"
"k7bn","Jiangsu Club","Chinese","2.5","(7)","Hong Kong"
"v1jk","Chef Kitchen","Chinese","4.4","(100+)","Hong Kong"
"hc26","Hang Heung Bakery Cafe (Sheung Wan)","Cha Chaan Teng","4.4","(100+)","Hong Kong"
"lkad","Tsai Sing Restaurant","Western","4.6","(100+)","Hong Kong"
"v4mv","Clicked","Thai","4.5","(18)","Hong Kong"
"v4sw","Kiu Heung Yun Nan Rice Noodles (Sheung Wan)","Chinese","4.3","(1000+)","Hong Kong"
"bvkr","Bento Works (Sheung Wan)","Hong Kong","3","(78)","Hong Kong"
"s0qa","Il Bel Paese (Sheung Wan)","Italian","4.3","(100+)","Hong Kong"
"v2rb","Sheung Fai Fruit Shop","Hong Kong","5","(100+)","Hong Kong"
"v5cq","Yum Yum","Hong Kong","4.6","(100+)","Hong Kong"
"p718","Arctic Ocean (Sheung Wan)","Hong Kong","4","(10)","Hong Kong"
"f2ek","Basmati","Indian","4.5","(75)","Hong Kong"
"r4zb","LeeLaksa","Singaporean","4.5","(1000+)","Hong Kong"
"l0mx","Ollies (Hollywood Road)","Western","4.4","(100+)","Hong Kong"
"z5qq","Premier Fruit & Juice","Hong Kong","5","(64)","Hong Kong"
"y2ja","Dessert Works (Sheung Wan)","HK Dessert","4","(73)","Hong Kong"
"s2jh","Urawa Japanese","Japanese","4.6","(100+)","Hong Kong"
"p6b7","Mala Works (Sheung Wan)","Chinese","4.9","(48)","Hong Kong"
"ctb2","Noodle Works (Sheung Wan)","Cart Noodles","1.5","(5)","Hong Kong"
"x4wa","Enishiya Original Rich Shrimp Broth Ramen","Ramen","4.7","(100+)","Hong Kong"
"j8cx","Pigsman Buns (Sheung Wan)","Burgers","5","(9)","Hong Kong"
"s6ad","Korean Garden Restaurant","Korean","4.3","(500+)","Hong Kong"
"b4n6","Monsieur CHATTÉ (Sheung Wan)","Western","4.5","(79)","Hong Kong"
"jshh","Siony's Lutong Bahay","Filipino","4.7","(100+)","Hong Kong"
"d7fj","BBQ Works (Sheung Wan)","Skewers","3.7","(31)","Hong Kong"
"rgoi","Souprice Works (Sheung Wan)","Hong Kong","1.9","(2)","Hong Kong"
"gq37","7-Eleven (Wing Lok Street, Sheung Wan) 0085","Hong Kong","4.6","(13)","Hong Kong"
"s5qz","Souper Authentic","Chinese","4.5","(4000+)","Hong Kong"
"v4hr","The Sabra Restaurant (Jewish Community Centre)","Middle Eastern","4.9","(20)","Hong Kong"
"xhwm","Pigsman (Sheung Wan)","Western","4.7","(100+)","Hong Kong"
"v5ti","Jo Jo Indian Cuisine (Wan Chai)","Indian","4.4","(500+)","Hong Kong"
"s8mf","Queen's Rice Noodle (Sheung Wan)","Chinese","3.9","(500+)","Hong Kong"
"s4eb","Wing Wah Southeast Asia Cafe","Southeast Asian","4","(500+)","Hong Kong"
"gtd3","Southeast Asia Deli","Cha Chaan Teng","4.3","(100+)","Hong Kong"
"ov7h","Gomokuya","Japanese","4.6","(100+)","Hong Kong"
"v2is","Pho Nhat Vietnamese Cuisine (Sheung Wan)","Pho","4.6","(1000+)","Hong Kong"
"cj3g","Shanghai Home [Extended Delivery]","Shanghainese","5","(1)","Hong Kong"
"s9he","Tandoor","Indian","4.4","(100+)","Hong Kong"
"v1re","Minh & Kok (Shun Tak Centre)","Southeast Asian","4.5","(100+)","Hong Kong"
"qvnq","Ban Kun Ya Club","Thai","4.6","(3)","Hong Kong"
"qipm","SMOOSHA by SaladStop! (Wan Chai)","Western","5","(2)","Hong Kong"
"nckj","Teadaye","Hong Kong","3.6","(2)","Hong Kong"
"drrl","SaladStop! (Wan Chai)","Salad","4.6","(100+)","Hong Kong"
"s5vs","India Garden","Indian","4.5","(100+)","Hong Kong"
"w3fe","Yuki House Ramen","Ramen","4.3","(100+)","Hong Kong"
"uyz0","Mama Mia Pizza & Pasta","Italian","4.8","(100+)","Hong Kong"
"v1yw","Thai Good Taste","Thai","4.5","(1000+)","Hong Kong"
"s6oq","Grappa’s QRE","Italian","4.5","(500+)","Hong Kong"
