"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"qkxe","Greyhound Cafe (IFC) [Pandago]","Thai",0.0,0,"hong kong","Shop 1082, 1/F, ifc mall, 8 Finance Street, Central,"
"h1wl","Isola Bar & Grill [Pandago]","Italian",0.0,0,"hong kong","Shop 2075, 2/F, ifc mall, 8 Finance Street, Central,"
"b7d8","Tommy Yummy[pandago]","Hong Kong",0.0,0,"hong kong","1/F, Jade Centre, No. 98 Wellington Street, Central, Hong Kong,"
"x6ha","Ramen Cubism (Central)","Udon",4.9,175,"hong kong","Basement, 27-29 Wellington Street, Central,"
"w9yk","Knockbox (Central)","Coffee",4.9,114,"hong kong","Shop B, G/F, World Trust Tower, 50 Stanley Street, Central,"
"hgxo","Art & Taste","Taiwanese",5.0,44,"hong kong","Shop A, G/F, Carfield Commercial Building, 75-77 Wyndham Street, Central,"
"ovb8","U R SO FUNNY (Central)","Cha Chaan Teng",4.1,10,"hong kong","19 Li Yuen Street, Central,"
"v4jg","1935 Restaurant","Chinese",4.9,110,"hong kong","19/F, M88, Wellington Place, 2-8 Wellington Street, Central,"
"pee4","Four Bites (IFC)","Chinese",4.9,190,"hong kong","Shop 2012, 2/F, ifc mall, 8 Finance Street, Central,"
"ix4h","T8 Japanese Cuisine [pandago]","Hong Kong",0.0,0,"hong kong","5/F, Grand Progress Building, 15-16 Lan Kwai Fong, Central,"
"d9ab","Potion House (Jardine House)","Hong Kong",4.9,35,"hong kong","Shop 5 & 7, LG/F, Jardine House, 1 Connaught Place, Central,"
"o865","bibigo bapsang","Korean",4.6,20,"hong kong","Shop B, G/F & C/L, Merlin Building, 32-34 Cochrane Street, Central,"
"uq3b","Jab Jab [Extended Delivery]","Rice Bowl",0.0,0,"hong kong","12/F, Stanley 11, 11 Stanley Street, Central,"
"e9nj","Twelve Cupcakes (Central) [Seasonal Edition]","Cakes",0.0,0,"hong kong","Shop 204B, 2/F, Man Yee Building, 60-68 Des Voeux Road Central, Central,"
"g95p","Li Bao House","Cantonese",3.5,11,"hong kong","4/F, Century Square, 1-13 D'Aguilar Street, Central,"
"w0vq","Shahrazad Lebanese Dining Lounge & Bar","Middle Eastern",5.0,39,"hong kong","2/F, Carfield Commercial Building, 75-77 Wyndham Street, Central,"
"jbwq","bb.q Chicken","Korean",4.9,72,"hong kong","Shop 1, M/F & Shop 1-3, G/F, Yue Shing Commercial Building, 15 Queen Victoria Street, Central,"
"fhfp","Bagels (Central District)","Sandwich",0.0,0,"hong kong","Shop 219, 2/F, Central Market, 93 Queen's Road Central, Central,"
"z1ov","House of Orient","Dim Sum ",5.0,10,"hong kong","Shop C & D, 2/F, Entertainment Building, 30 Queen's Road Central, Central,"
"uykx","Bluemin (Central)","Chinese",4.4,36,"hong kong","Shops 201-204, 2/F, Central Market, 93 Queen's Road Central, Central,"
"s4zk","Kyo Watami (Central)","Japanese",4.8,555,"hong kong","Shop 213, 2/F, Man Yee Building, 60-68 Des Voeux Road Central, Central,"
"mhjh","Vida Coffee & Tea","Western",0.0,0,"hong kong","Portion A, Shop 2C, 1/F, Lippo Centre, 89 Queensway, Admiralty,"
"mffk","can.teen (Century Square)","Hong Kong",4.8,498,"hong kong","Shop A, UG/F, Century Square, 1-3 D'Aguilar Street, Central,"
"s6nc","XTC Gelato (Central)","Italian",4.9,324,"hong kong","Shop B, G/F, Cheung Fai Building, 45-47 Cochrane Street, Central,"
"x0kl","Man Man Canteen","Rice Bowl",4.9,1473,"hong kong","B/F & G/F, Peter Building, 58-62 Queen's Road Central, Central,"
"dc9v","Good Luck LKF","Thai",4.7,68,"hong kong","Shop 16, G/F, Block B, Winner Building, 16 Wing Wah Lane, Central,"
"anzf","Nine Phoenixes Noodles (Central)","Hong Kong",0.0,0,"hong kong","G/F, Yuen Kee Building, 3 Queen Victoria Street, Central,"
"w2in","Cafe Landmark","Western",5.0,151,"hong kong","Shop 107-108, 1/F, Landmark Atrium, 15 Queen's Road Central, Central,"
"i111","LINLEE (Central)","Bubble Tea",5.0,36,"hong kong","Shop H, G/F, Lyndhurst Building, 23 Lyndhurst Terrace, Central,"
"x1dy","Tealosophy Tea Bar","Japanese",4.5,19,"hong kong","G/F & 1/F (Portion A), Win Hing House, 38 Wyndham Street, Central,"
"s9wf","Yummy","Hong Kong",4.9,243,"hong kong","G/F, Melbourne Plaza, 10 Chiu Lung Street, Central,"
"m9pv","Chickpea (Central)","Middle Eastern",4.9,2912,"hong kong","Shop 3, G/F, Union Commercial Building, 12-16 Lyndhurst Terrace, Central,"
"cqv7","Homebake (Central)","Western",4.9,107,"hong kong","Shop B, G/F, Melbourne Plaza, 33 Queen's Road Central, Central,"
"s1wm","Nam Kee Spring Roll Noodle Co Ltd (Central)","Rice Noodles",5.0,6356,"hong kong","G/F, Kai Tak Commercial Building, 66-72 Stanley Street, Central,"
"rkld","Saint Noodles [Extended Delivery]","Hong Kong",0.0,0,"hong kong","Shop C, G/F, 30-34 Cochrane Street, Central,"
"c0da","Croque (Central)","Western",4.8,24,"hong kong","G/F, 1 Lyndhurst Tower, 78 Wellington Street, Central,"
"r34f","Yau Gan Mala Tang (Sheung Wan)","Sichuan",0.0,0,"hong kong","Shop 9, G/F, 1 Lyndhurst, 1 Lyndhurst Terrace, Central,"
"xrpi","iiUncles (Central)","Thai",4.7,47,"hong kong","Shop 5A, UG/F, Cheung Fai Building, 45-47 Cochrane Street, Central,"
